located in,The subject entity is physically situated in or found in the location specified by the object entity.
serves,"The subject entity offers or provides food or beverage items specified by the object entity. This includes cuisine types (e.g., Italian, Mexican), specific dishes (e.g., pizza, sushi), meal types (e.g., breakfast, brunch), and beverages (e.g., beer, wine, coffee)."
caters to,The subject entity serves or provides services to the group or type of people specified by the object entity.
has feature,The subject entity possesses or is characterized by the feature specified by the object entity.
price range,The subject entity operates within or offers the pricing level specified by the object entity.
has atmosphere,The subject entity provides or is characterized by the ambiance or environment specified by the object entity.
suitable for,The subject entity is appropriate for or fits the purpose or occasion specified by the object entity.
appeals to,The subject entity attracts or is attractive to the group or type of people specified by the object entity.
is a,The subject entity is classified as or belongs to the category specified by the object entity.
presents,"The subject entity shows, performs, or offers the content specified by the object entity."
presents genre,The subject entity features or showcases works of the genre specified by the object entity.
offers,The subject entity provides or makes available the service or product specified by the object entity.
